current_vacancy_city	current_vacancy_country	past_vacancy_city	past_vacancy_country	employment_duration_years	employer_id
Amsterdam	Netherlands	Schipholrijk	Netherlands	3.5	1
Amsterdam	Netherlands	s-Hertogenbosch	Netherlands	4.75	2
Amsterdam	Netherlands	Amsterdam	Netherlands	2.41	3
Amsterdam	Netherlands	Amsterdam	Netherlands	3.41	4
Amsterdam	Netherlands	New York	United States	4.33	5
Amsterdam	Netherlands	Tilburg	Netherlands	7.16	6
Amsterdam	Netherlands	Recife Area	Brazil	2.16	7
Amsterdam	Netherlands	Tuscany	Italy	5.5	8
Amsterdam	Netherlands	Walnut Creek	United States	3.5	9
Amsterdam	Netherlands	Kent	United Kingdom	6.16	10
Amsterdam	Netherlands	Espoo	Finland	2.25	11
Amsterdam	Netherlands	Athens	Greece	5	12
Amsterdam	Netherlands	Amsterdam	Netherlands	4	13
Amsterdam	Netherlands	Noida Area	India	1	14
Amsterdam	Netherlands	Kiev	Ukraine	4.33	15
Amsterdam	Netherlands	Kiev	Ukraine	4.66	16
Amsterdam	Netherlands	Hilversum	Netherlands	3.08	17
Amsterdam	Netherlands	Cape Town Area	South Africa	4.66	18
Amsterdam	Netherlands	Bratislava	Slovakia	2.91	19
Amsterdam	Netherlands	Ṣo Paulo Area	Brazil	1.91	20
Amsterdam	Netherlands	Amsterdam	Netherlands	2.83	21
Amsterdam	Netherlands	Hopkinton	United States	3.5	22
Amsterdam	Netherlands	Bengaluru Area	India	4.33	23
Amsterdam	Netherlands	Amsterdam	Netherlands	7	24
Amsterdam	Netherlands	Gurgaon	India	3.91	25
Amsterdam	Netherlands	Amsterdam	Netherlands	3.58	26
Amsterdam	Netherlands	Novi Sad	Serbia	4.58	27
Amsterdam	Netherlands	San Francisco	United States	3	28
Amsterdam	Netherlands	Baltimore	United States	4.91	29